Name,NSamples,minBookDepth,p25BookDepth,p50BookDepth,p75BookDepth,p90BookDepth,p99BookDepth,p999BookDepth,p9999BookDepth,maxBookDepth
CCLP,8506,0,0,2,12,96,482,1892,17872772,19998591
CCM,1790,0,0,0,19,115,197,387,486,486
CCMP,37699,0,0,3,8,28,970,1476,15808267,19994938
CCNE,3620,0,0,13,93,187,508,17317762,19730293,19998353
CCO,11244,0,0,0,3,9,195,1078,6974,9511
CCOI,59332,0,0,3,13,19,190,1117,14065643,19996247
CCRN,30533,0,0,2,9,14,286,475,16183479,19998950
CCS,2304,0,0,0,4,19,467,818,818,818
CCSC,983,0,1,31,122,137,2131690,18212741,19820846,19999525
CCU,5776,0,0,0,9,17,540,14749036,19473235,19998146
CCUR,4185,0,0,0,5,52,188,10701982,19069622,19999360
CCV,439,0,0,0,0,536,1810,15608559,19557929,19996748
CCX,305,0,0,2,118,572,14916679,19490149,19947496,19998313
CCXE,985,0,0,0,5,164,1696,8357063,9833455,9997499
CCXI,12831,0,0,0,2,49,395,3965099,18395780,19999189
CCZ,86,0,0,155,1644,1802,2335,2335,2335,2335
CDC,42197,0,0,1,2,4,11,1063,17360219,19996398
CDE,125888,0,0,0,1,4,11,184,928,19999377
CDE+,66,0,0,345,1300,2223,2470,2470,2470,2470
CDI,6332,0,0,6,15,50,495,2088603,9207333,9998304
CDK,53731,0,0,6,16,25,358,2033,10230842,19995450
CDNA,1746,0,0,4,32,95,232,16508276,19650176,19999277
CDNS,232093,0,0,0,4,9,21,360,789,19998213
CDR,15526,0,0,0,1,5,221,235,386,481
CDR-B,714,0,0,0,0,79,938,1012,1012,1012
CDTI,3615,0,0,0,12,113,1159,15984192,19598255,19999818
CDW,66402,0,0,3,7,12,250,778,15571709,19996665
CDXS,6522,0,0,1,6,32,196,6959122,18695554,19999603
CDZI,4331,0,0,0,7,68,329,9174737,18916552,19998976
CE,136584,0,0,2,6,12,39,1092,1540,19994670
CEA,1810,0,0,0,14,24,733,7736645,9771355,9997434
CEB,37204,0,0,4,11,29,547,2331,5348116,9993068
CECE,12165,0,0,1,11,26,397,7837470,18782436,19998544
CECO,22844,0,0,0,4,7,165,523,17461906,19999421
CEE,14879,0,566,6588532,13293281,17316130,19729840,19971211,19995348,19998030
CEF,47104,0,0,1,2,4,92,375,685,1207
CEFL,2791,0,0,0,0,1,408,686,1024,1024
CEL,3039,0,0,0,1,25,139,885,918,918
CELG,440486,0,1,3,9,24,850,4000,16888903,19988332
CELGZ,738,0,4,18,63,97,6585057,18658189,19865503,19999649
